InstrumentID: P9710-521 V5.6 SN:1875 @ COM5
DetectorID:   

 484 0x1E4 -> 255 0xFF 'ÿ'
 485 0x1E5 -> 255 0xFF 'ÿ'
 486 0x1E6 -> 255 0xFF 'ÿ'
 487 0x1E7 -> 255 0xFF 'ÿ'
 488 0x1E8 -> 255 0xFF 'ÿ'
 489 0x1E9 -> 255 0xFF 'ÿ'
 490 0x1EA -> 255 0xFF 'ÿ'
 491 0x1EB -> 255 0xFF 'ÿ'
 492 0x1EC -> 255 0xFF 'ÿ'
 493 0x1ED -> 255 0xFF 'ÿ'
 494 0x1EE -> 255 0xFF 'ÿ'
 495 0x1EF -> 255 0xFF 'ÿ'
 496 0x1F0 -> 255 0xFF 'ÿ'
 497 0x1F1 -> 255 0xFF 'ÿ'
 498 0x1F2 -> 255 0xFF 'ÿ'
 499 0x1F3 -> 255 0xFF 'ÿ'
 500 0x1F4 -> 255 0xFF 'ÿ'
 501 0x1F5 -> 255 0xFF 'ÿ'
 502 0x1F6 -> 255 0xFF 'ÿ'
 503 0x1F7 -> 255 0xFF 'ÿ'
 504 0x1F8 -> 255 0xFF 'ÿ'
 505 0x1F9 -> 255 0xFF 'ÿ'
 506 0x1FA -> 255 0xFF 'ÿ'
 507 0x1FB -> 255 0xFF 'ÿ'
 508 0x1FC -> 255 0xFF 'ÿ'
 509 0x1FD -> 255 0xFF 'ÿ'
 510 0x1FE -> 255 0xFF 'ÿ'
 511 0x1FF -> 255 0xFF 'ÿ'
 512 0x200 -> 255 0xFF 'ÿ'
 513 0x201 -> 255 0xFF 'ÿ'
 514 0x202 -> 255 0xFF 'ÿ'
 515 0x203 -> 255 0xFF 'ÿ'
 516 0x204 -> 255 0xFF 'ÿ'
 517 0x205 -> 255 0xFF 'ÿ'
 518 0x206 -> 255 0xFF 'ÿ'
 519 0x207 -> 255 0xFF 'ÿ'
 520 0x208 -> 255 0xFF 'ÿ'
 521 0x209 -> 255 0xFF 'ÿ'
 522 0x20A -> 255 0xFF 'ÿ'
 523 0x20B -> 255 0xFF 'ÿ'
 524 0x20C -> 255 0xFF 'ÿ'
 525 0x20D -> 255 0xFF 'ÿ'
 526 0x20E -> 255 0xFF 'ÿ'
 527 0x20F -> 255 0xFF 'ÿ'
 528 0x210 -> 255 0xFF 'ÿ'
 529 0x211 -> 255 0xFF 'ÿ'
 530 0x212 -> 255 0xFF 'ÿ'
 531 0x213 -> 255 0xFF 'ÿ'
 532 0x214 -> 255 0xFF 'ÿ'
 533 0x215 -> 255 0xFF 'ÿ'
 534 0x216 -> 255 0xFF 'ÿ'
 535 0x217 -> 255 0xFF 'ÿ'
 536 0x218 -> 255 0xFF 'ÿ'
 537 0x219 -> 255 0xFF 'ÿ'
 538 0x21A -> 255 0xFF 'ÿ'
 539 0x21B -> 255 0xFF 'ÿ'
 540 0x21C -> 255 0xFF 'ÿ'
 541 0x21D -> 255 0xFF 'ÿ'
 542 0x21E -> 255 0xFF 'ÿ'
 543 0x21F -> 255 0xFF 'ÿ'
 544 0x220 -> 255 0xFF 'ÿ'
 545 0x221 -> 255 0xFF 'ÿ'
 546 0x222 -> 255 0xFF 'ÿ'
 547 0x223 -> 255 0xFF 'ÿ'
 548 0x224 -> 255 0xFF 'ÿ'
 549 0x225 -> 255 0xFF 'ÿ'
 550 0x226 -> 255 0xFF 'ÿ'
 551 0x227 -> 255 0xFF 'ÿ'
 552 0x228 -> 255 0xFF 'ÿ'
 553 0x229 -> 255 0xFF 'ÿ'
 554 0x22A -> 255 0xFF 'ÿ'
 555 0x22B -> 255 0xFF 'ÿ'
 556 0x22C -> 255 0xFF 'ÿ'
 557 0x22D -> 255 0xFF 'ÿ'
 558 0x22E -> 255 0xFF 'ÿ'
 559 0x22F -> 255 0xFF 'ÿ'
 560 0x230 -> 255 0xFF 'ÿ'
 561 0x231 -> 255 0xFF 'ÿ'
